original canceled date,resurrected canceled date,original created date,resurrected created date,original end date,resurrected end date,original next charge date,resurrected next charge date,original plan,resurrected plan,student_id,original subscription id,resurrected subscription id,days to resurrection
NULL,9/23/2022 0:00,1/28/2021 23:44,6/25/2021 2:10,6/16/2021 0:00,9/25/2022 0:00,6/7/2021 3:00,9/25/2022 0:00,annual,annual,9952,1932,4711,9
2/19/2021 0:00,11/18/2021 0:00,1/28/2021 23:44,6/27/2021 14:06,2/25/2021 0:00,11/27/2021 0:00,2/25/2021 2:00,11/27/2021 0:00,monthly,monthly,6408,1976,4719,122
NULL,NULL,1/28/2021 23:46,6/29/2021 3:03,3/3/2021 0:00,8/2/2021 0:00,2/27/2021 2:00,7/29/2021 0:00,monthly,monthly,3367,2216,4728,118
NULL,12/27/2021 0:00,1/28/2021 23:44,6/30/2021 14:19,6/25/2021 0:00,12/30/2021 0:00,6/21/2021 0:00,12/30/2021 0:00,monthly,monthly,5791,1363,4737,5
NULL,NULL,3/2/2021 20:36,7/1/2021 0:14,6/6/2021 0:00,9/5/2021 0:00,6/2/2021 0:00,9/1/2021 0:00,monthly,monthly,2943,3532,4739,25
NULL,NULL,1/28/2021 23:44,7/1/2021 7:40,6/26/2021 0:00,NULL,6/17/2021 3:00,7/1/2023 0:00,annual,annual,18868,1890,4742,5
NULL,NULL,4/11/2021 10:34,7/3/2021 8:36,6/15/2021 0:00,8/7/2021 0:00,6/11/2021 0:00,8/3/2021 0:00,monthly,monthly,148901,4016,4751,18
5/27/2021 0:00,7/5/2021 0:00,5/26/2021 18:20,7/5/2021 19:50,6/1/2021 0:00,8/5/2021 0:00,5/26/2022 0:00,8/5/2021 0:00,annual,monthly,156080,4333,4768,34
3/17/2021 0:00,11/13/2021 0:00,1/28/2021 23:46,7/13/2021 21:27,4/5/2021 0:00,12/13/2021 0:00,4/5/2021 3:00,12/13/2021 0:00,annual,monthly,5684,3071,4825,99
7/8/2020 3:00,7/14/2022 0:00,1/28/2021 23:44,7/14/2021 15:41,7/8/2021 0:00,7/14/2022 0:00,7/8/2021 3:00,7/14/2023 0:00,annual,annual,2324,1748,4829,6
6/4/2021 0:00,NULL,3/17/2021 12:02,7/21/2021 1:02,6/9/2021 0:00,NULL,5/17/2022 0:00,7/21/2023 0:00,annual,annual,147005,3694,4890,42
4/27/2021 0:00,NULL,1/28/2021 23:46,7/23/2021 19:22,4/28/2021 0:00,NULL,4/28/2021 3:00,7/23/2023 0:00,annual,annual,8018,2137,4927,86
5/3/2021 0:00,7/25/2022 0:00,5/1/2021 23:12,7/23/2021 23:58,6/1/2021 0:00,7/23/2023 0:00,6/1/2021 0:00,7/23/2023 0:00,annual,annual,150819,4163,4934,52
NULL,NULL,1/28/2021 23:44,7/24/2021 22:49,6/10/2021 0:00,9/28/2021 0:00,6/1/2021 3:00,9/24/2021 0:00,annual,monthly,3297,1958,4944,44
NULL,NULL,6/10/2021 10:56,7/26/2021 21:27,7/20/2021 0:00,8/30/2021 0:00,7/10/2021 0:00,8/26/2021 0:00,monthly,monthly,157184,4625,4996,6
NULL,NULL,7/18/2021 2:47,7/28/2021 13:58,7/22/2021 0:00,7/28/2022 0:00,8/18/2021 0:00,10/28/2023 0:00,monthly,annual,160452,4852,5023,6
7/20/2021 0:00,NULL,6/23/2021 19:56,7/29/2021 1:59,7/23/2021 0:00,NULL,7/23/2021 0:00,7/29/2023 0:00,monthly,annual,8974,4702,5044,6
7/3/2021 0:00,NULL,1/28/2021 23:44,7/29/2021 2:47,7/9/2021 0:00,NULL,7/9/2021 3:00,7/29/2023 0:00,annual,annual,5211,1704,5046,20
6/13/2021 0:00,8/11/2021 0:00,1/28/2021 23:44,7/30/2021 4:29,7/11/2021 0:00,8/30/2021 0:00,7/11/2021 0:00,8/30/2021 0:00,monthly,monthly,11402,1152,5062,19
NULL,NULL,3/12/2021 5:20,7/31/2021 2:50,3/16/2021 0:00,8/2/2021 0:00,3/12/2022 0:00,7/31/2022 0:00,annual,annual,146547,3620,5065,137
NULL,NULL,1/28/2021 23:46,8/2/2021 17:00,4/30/2021 0:00,8/11/2022 0:00,4/21/2021 3:00,8/2/2022 0:00,annual,annual,2512,2543,5078,94
NULL,1/8/2022 0:00,6/1/2021 7:29,8/8/2021 15:22,8/5/2021 0:00,2/8/2022 0:00,8/1/2021 0:00,2/8/2022 0:00,monthly,monthly,156561,4488,5119,3
NULL,8/17/2022 0:00,4/6/2021 10:47,8/12/2021 15:25,8/10/2021 0:00,8/12/2023 0:00,8/6/2021 0:00,8/12/2023 0:00,annual,annual,148467,3979,5137,2
8/3/2021 0:00,10/4/2021 0:00,7/3/2021 16:23,8/16/2021 17:42,8/4/2021 0:00,10/16/2021 0:00,9/3/2021 0:00,10/16/2021 0:00,monthly,monthly,159058,4752,5151,12
NULL,8/16/2021 0:00,7/5/2021 20:28,8/16/2021 20:12,8/9/2021 0:00,9/16/2021 0:00,8/5/2021 0:00,9/16/2021 0:00,monthly,monthly,158315,4769,5152,7
1/14/2021 2:00,NULL,1/28/2021 23:46,8/19/2021 10:42,2/13/2021 0:00,NULL,2/13/2021 2:00,8/19/2023 0:00,monthly,annual,6808,3139,5180,187
NULL,NULL,1/28/2021 23:44,8/23/2021 14:25,6/22/2021 0:00,9/1/2022 0:00,6/12/2021 3:00,8/23/2022 0:00,annual,annual,17547,1911,5214,62
4/9/2021 0:00,NULL,1/28/2021 23:46,8/23/2021 14:44,4/18/2021 0:00,NULL,4/18/2021 3:00,8/23/2023 0:00,annual,annual,709,2673,5215,127
2/20/2021 0:00,NULL,1/28/2021 23:44,8/23/2021 14:56,3/3/2021 0:00,NULL,3/3/2021 0:00,8/23/2023 0:00,monthly,annual,1362,612,5216,173
NULL,NULL,1/28/2021 23:46,8/23/2021 15:28,5/1/2021 0:00,9/1/2022 0:00,4/22/2021 3:00,8/23/2022 0:00,annual,annual,2295,2478,5218,114
7/28/2021 0:00,3/28/2022 0:00,1/28/2021 23:44,8/23/2021 15:52,8/18/2021 0:00,11/23/2022 0:00,8/18/2021 3:00,11/23/2022 0:00,annual,annual,3822,1530,5219,5
7/3/2021 0:00,NULL,1/28/2021 23:44,8/23/2021 16:19,7/9/2021 0:00,9/1/2022 0:00,7/9/2021 3:00,8/23/2022 0:00,annual,annual,19597,1724,5220,45
3/2/2020 2:00,8/23/2021 0:00,1/28/2021 23:46,8/23/2021 23:35,3/1/2021 0:00,11/23/2022 0:00,3/2/2021 2:00,11/23/2023 0:00,annual,annual,15328,3150,5223,175
NULL,NULL,1/28/2021 23:46,8/24/2021 0:28,3/18/2021 0:00,NULL,3/9/2021 2:00,8/24/2023 0:00,annual,annual,1661,3143,5224,159
NULL,NULL,1/28/2021 23:44,8/24/2021 22:54,7/19/2021 0:00,8/24/2022 0:00,7/15/2021 3:00,8/24/2023 0:00,annual,annual,1693,1644,5231,36
NULL,2/27/2022 0:00,2/14/2021 10:03,8/25/2021 11:07,3/1/2021 0:00,8/25/2022 0:00,2/14/2022 0:00,8/25/2022 0:00,annual,annual,143655,3363,5237,177
NULL,NULL,1/28/2021 23:46,8/25/2021 21:09,4/21/2021 0:00,NULL,4/12/2021 3:00,8/25/2023 0:00,annual,annual,86545,2977,5244,126
2/10/2021 0:00,NULL,1/28/2021 23:44,8/25/2021 23:39,2/14/2021 0:00,8/26/2022 0:00,2/14/2021 2:00,8/25/2022 0:00,monthly,annual,3195,255,5247,192
NULL,NULL,1/28/2021 23:46,8/26/2021 11:14,4/23/2021 0:00,NULL,4/14/2021 3:00,8/26/2023 0:00,annual,annual,13464,2933,5252,125
NULL,NULL,1/28/2021 23:46,8/26/2021 13:08,4/24/2021 0:00,NULL,4/15/2021 3:00,8/26/2023 0:00,annual,annual,9380,2884,5254,124
3/16/2021 0:00,NULL,1/28/2021 23:46,8/26/2021 16:38,4/16/2021 0:00,8/26/2022 0:00,4/16/2021 3:00,8/26/2022 0:00,annual,annual,10504,2804,5260,132
2/12/2021 0:00,NULL,1/28/2021 23:44,8/26/2021 22:45,7/5/2021 0:00,NULL,7/5/2021 3:00,8/26/2023 0:00,annual,annual,12330,1797,5262,52
4/25/2021 0:00,NULL,1/28/2021 23:44,8/26/2021 22:47,5/25/2021 0:00,NULL,5/25/2021 3:00,8/26/2023 0:00,annual,annual,6363,1977,5263,93
4/3/2021 0:00,NULL,1/28/2021 23:46,8/26/2021 23:27,4/23/2021 0:00,NULL,4/23/2021 3:00,8/26/2023 0:00,annual,annual,4371,2365,5264,125
4/18/2021 0:00,NULL,1/28/2021 23:46,8/27/2021 3:19,4/21/2021 0:00,NULL,4/21/2021 3:00,8/27/2023 0:00,annual,annual,7568,2552,5266,128
2/6/2021 0:00,NULL,1/28/2021 23:46,8/27/2021 6:36,4/15/2021 0:00,NULL,4/15/2021 3:00,8/27/2023 0:00,annual,annual,14347,2888,5268,134
