user_id,current status,plan,tag
31,1,Annual,New
182,3,Monthly,New
182,3,Monthly,Resurrected
182,3,Monthly,Churned
235,1,Annual,New
520,3,Annual,Churned
520,3,Annual,Base
523,3,Annual,Churned
523,3,Annual,Base
591,1,Annual,Base
594,3,Annual,Base
594,3,Annual,Churned
595,3,Annual,Base
595,3,Annual,Churned
608,3,Annual,Base
608,3,Annual,Churned
616,1,Annual,Base
618,1,Annual,Base
618,1,Annual,Churned
618,1,Annual,Resurrected
626,3,Annual,Base
626,3,Annual,Churned
659,3,Annual,Churned
659,3,Annual,Base
666,3,Annual,Base
666,3,Annual,Churned
674,1,Monthly,Base
691,3,Annual,Base
691,3,Annual,Churned
698,3,Annual,Base
698,3,Annual,Churned
709,1,Annual,Base
768,1,Annual,Resurrected
768,1,Annual,Base
768,1,Annual,Churned
772,3,Annual,Base
772,3,Annual,Churned
773,3,Annual,Churned
773,3,Annual,Base
782,1,Annual,Base
801,3,Annual,Base
801,3,Annual,Churned
804,3,Monthly,Churned
804,3,Monthly,Resurrected
810,3,Annual,Base
810,3,Annual,Churned
816,3,Annual,Base
816,3,Annual,Churned
829,3,Annual,Base
829,3,Annual,Churned
830,3,Annual,Base
832,3,Annual,Base
832,3,Annual,Churned
835,3,Annual,Base
835,3,Annual,Churned
837,3,Annual,Base
837,3,Annual,Churned
838,1,Annual,Base
840,3,Annual,Churned
840,3,Annual,Resurrected
840,3,Annual,Base
842,3,Annual,Base
842,3,Annual,Churned
844,3,Monthly,Base
844,3,Monthly,Churned
849,1,Quarterly,Base
851,3,Annual,Base
851,3,Annual,Churned
852,3,Annual,Base
852,3,Annual,Churned
863,1,Monthly,Base
865,2,Annual,Base
866,3,Annual,Churned
866,3,Annual,Base
869,1,Annual,Base
871,3,Quarterly,Churned
871,3,Quarterly,Base
872,1,Annual,Base
872,1,Annual,Churned
872,1,Annual,Resurrected
874,3,Annual,Churned
874,3,Annual,Base
875,3,Annual,Base
875,3,Annual,Churned
882,3,Annual,Base
882,3,Annual,Churned
884,1,Annual,Base
890,3,Annual,Churned
890,3,Annual,Base
893,3,Annual,Base
893,3,Annual,Churned
903,3,Annual,Base
903,3,Annual,Churned
909,3,Annual,Base
909,3,Annual,Churned
911,2,Annual,Base
916,2,Annual,Base
917,2,Annual,Base
927,3,Annual,Base
927,3,Annual,Churned
933,3,Annual,Base
933,3,Annual,Churned
939,1,Annual,Base
942,3,Annual,Base
942,3,Annual,Churned
947,1,Annual,Base
948,3,Annual,Base
948,3,Annual,Churned
958,3,Annual,Churned
958,3,Annual,Base
965,3,Annual,Churned
965,3,Annual,Base
969,3,Annual,Base
969,3,Annual,Churned
969,3,Monthly,Resurrected
973,3,Annual,Base
973,3,Annual,Churned
987,3,Annual,Base
987,3,Annual,Churned
987,3,Annual,Resurrected
988,1,Annual,Base
991,2,Annual,Base
994,3,Annual,Base
994,3,Annual,Churned
998,1,Annual,Resurrected
998,1,Annual,Base
998,1,Annual,Churned
999,1,Monthly,Base
1002,1,Annual,Base
1002,1,Annual,Churned
1002,1,Annual,Resurrected
1006,3,Annual,Base
1006,3,Annual,Churned
1008,1,Annual,Resurrected
1008,1,Annual,Churned
1008,1,Annual,Base
1014,3,Annual,Churned
1014,3,Annual,Base
1016,1,Annual,Resurrected
1019,1,Annual,Resurrected
1023,1,Annual,Base
1024,2,Annual,Churned
1024,2,Annual,Base
1029,1,Annual,Base
1036,3,Annual,New
1039,3,Annual,Base
1039,3,Annual,Churned
1040,1,Annual,Base
1041,1,Annual,Base
1042,3,Annual,Base
1042,3,Annual,Churned
1045,3,Annual,Base
1045,3,Annual,Churned
1046,1,Annual,Churned
1046,1,Annual,Resurrected
1046,1,Annual,Base
1052,3,Annual,Base
1052,3,Annual,Churned
1056,3,Annual,Base
1056,3,Annual,Churned
1057,3,Annual,Base
1057,3,Annual,Churned
1063,3,Monthly,Base
1063,3,Monthly,Churned
1066,3,Annual,Churned
1066,3,Annual,Base
1069,2,Annual,Base
1073,3,Annual,Base
1073,3,Annual,Churned
1094,2,Annual,Resurrected
1094,2,Annual,Churned
1094,2,Annual,Base
1096,3,Annual,New
1096,3,Annual,Churned
1098,3,Annual,Base
1098,3,Annual,Churned
1099,3,Annual,Base
1099,3,Annual,Churned
1102,1,Annual,Churned
1102,1,Annual,Base
1102,1,Annual,Resurrected
1105,3,Annual,Base
1105,3,Annual,Churned
1116,3,Annual,Base
1116,3,Annual,Churned
1119,1,Annual,Base
1120,3,Annual,Base
1120,3,Annual,Churned
1128,3,Annual,Churned
1128,3,Annual,Base
1132,1,Annual,Base
1143,3,Annual,Base
1143,3,Annual,Churned
1145,3,Annual,Base
1151,3,Monthly,Churned
1151,3,Monthly,Resurrected
1154,3,Annual,Base
1154,3,Annual,Churned
1155,1,Annual,Base
1156,2,Annual,Base
1159,1,Annual,Resurrected
1165,1,Annual,Base
1169,3,Annual,Base
1169,3,Annual,Churned
1173,1,Annual,Base
1175,3,Monthly,Base
1175,3,Monthly,Churned
1176,2,Annual,Base
1183,1,Annual,Base
1187,3,Annual,Churned
1187,3,Annual,Base
1188,1,Annual,Base
1196,3,Annual,Churned
1196,3,Annual,Base
1201,1,Annual,Base
1207,1,Annual,Base
1208,3,Annual,Churned
1208,3,Annual,Base
1209,3,Annual,Churned
1209,3,Annual,Base
1211,3,Monthly,Base
1211,3,Monthly,Churned
1215,3,Annual,Base
1215,3,Annual,Churned
1221,1,Annual,Resurrected
1235,3,Annual,Resurrected
1242,2,Annual,Base
1244,1,Annual,Base
1246,1,Annual,Base
1249,3,Annual,Base
1249,3,Annual,Churned
1257,3,Annual,Base
1257,3,Annual,Churned
1259,3,Annual,Base
1259,3,Annual,Churned
1266,1,Annual,Base
1270,1,Annual,Base
1272,3,Annual,Churned
1272,3,Annual,Base
1277,3,Annual,Base
1277,3,Annual,Churned
1280,3,Annual,Churned
1280,3,Annual,Base
1283,1,Annual,Base
1285,1,Annual,New
1292,3,Annual,Base
1292,3,Annual,Churned
1298,3,Annual,Churned
1298,3,Annual,Base
1299,1,Annual,Base
1306,1,Annual,Resurrected
1313,3,Annual,Base
1313,3,Annual,Churned
1317,1,Annual,Base
1319,3,Annual,Churned
1319,3,Annual,Base
1320,3,Annual,Churned
1320,3,Annual,Base
1324,3,Annual,Churned
1324,3,Annual,Base
1327,1,Annual,Base
1331,3,Annual,Base
1331,3,Annual,Churned
1341,3,Annual,Churned
1341,3,Annual,Base
1343,3,Annual,Churned
1343,3,Annual,Base
1350,3,Annual,Base
1350,3,Annual,Churned
1351,1,Annual,Base
1355,1,Annual,Base
1357,3,Annual,Base
1357,3,Annual,Churned
1362,1,Annual,Base
1363,3,Annual,Base
1363,3,Annual,Churned
1373,3,Annual,Churned
1373,3,Annual,Base
1374,1,Annual,Resurrected
1382,1,Annual,Resurrected
1382,1,Annual,Churned
1382,1,Annual,Base
1397,3,Annual,Base
1397,3,Annual,Churned
1404,3,Annual,Base
1411,1,Annual,Base
1417,3,Annual,Churned
1417,3,Annual,Base
1419,3,Annual,Churned
1419,3,Annual,Base
1419,3,Annual,Resurrected
1426,3,Annual,Resurrected
1426,3,Annual,Churned
1426,3,Annual,Base
1428,3,Annual,Churned
1428,3,Annual,Base
1436,1,Monthly,New
1436,1,Monthly,Churned
1436,1,Monthly,Resurrected
1447,3,Annual,Base
1447,3,Annual,Churned
1448,1,Monthly,Base
1452,3,Annual,Churned
1452,3,Annual,Base
1456,3,Annual,Base
1456,3,Annual,Churned
1465,1,Annual,Base
1468,1,Annual,Resurrected
1469,3,Annual,Base
1469,3,Annual,Churned
